title,company,project_link,date,project_id,pdf_real_link
1#高端配送库等2项、2#仓库及配套管理用房等10项（朝阳区东四环南路甲1号一号地仓储项目）,北京北建陆港国际物流有限公司,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=105F0SG201800030,2018-6-26,105F0SG201800030,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=bf67cbca-7931-4a32-a5c9-aeb95c4432a7.pdf
BS-2商业（BS-2商业（昌平区东小口镇住宅混合公建用地（配建公共租赁住房）项目））,北京京投银泰尚德置业有限公司,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=221F0SG201800052,2018-6-26,221F0SG201800052,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=b1e31e9c-f56f-4ff0-aec0-9a4063193613.pdf
龙泉镇西公交中心站工程,北京公共交通控股（集团）有限公司,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=F0SG201800134,2018-6-26,F0SG201800134,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=698ed35f-7326-4085-9918-913c5611ae0f.pdf
中国人民武装警察部队北京市总队第二师机关营区抗震节能综合改造工程施工招标,中国人民武装警察部队北京市总队机动第二支队,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=F0SG201700706,2018-6-27,F0SG201700706,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=b3a9e703-45c6-4a4f-9cd6-a2727fafdf56.pdf
中国人民武装警察部队北京市总队第六支队机关营区抗震节能综合改造工程施工招标,中国人民武装警察部队北京市总队执勤第三支队,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=F0SG201700650,2018-6-27,F0SG201700650,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=d83baa16-9364-48a6-a082-201a17065ac7.pdf
中国人民武装警察部队北京市总队第十支队机关营区抗震节能综合改造工程施工招标,中国人民武装警察部队北京市总队执勤第一支队,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=F0SG201700704,2018-6-27,F0SG201700704,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=f011b96b-8a04-4bbf-8c02-1860f008d754.pdf
北京城市副中心行政办公区北区开关站工程（土建）,北京城市副中心投资建设集团有限公司,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=223F0SG201800007,2018-6-27,223F0SG201800007,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=f7638dda-e7c7-4e07-b987-35af4f9efd51.pdf
北京城市副中心行政办公区南区开关站工程（土建）,北京城市副中心投资建设集团有限公司,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=223F0SG201800008,2018-6-27,223F0SG201800008,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=b7a9bccb-1fa3-4a73-8823-57b28a72f2f2.pdf
云西110kV输变电工程（变电站工程）,国网北京市电力公司,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=F0SG201800213,2018-6-27,F0SG201800213,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=0f4b763b-93ba-4b95-a6fc-749bf4f8ec27.pdf
北京市石景山区玉泉西一路X-18160地块R2二类居住用地项目,北京中实置业有限公司,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=107F0SG201800009,2018-6-27,107F0SG201800009,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=574a2296-a69b-4237-90a6-d8c44aae185a.pdf
葱店胡同2号院业务用房维修改造工程,中共中央办公厅机关服务中心,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=F0SG201800233,2018-6-27,F0SG201800233,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=59926bbb-9d14-41a6-ae9c-2314246b8ca2.pdf
朝阳区南磨房乡石门定向安置房配套市政道路,北京市保障房配套市政基础设施建设有限公司,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=105F0SG201800018,2018-6-27,105F0SG201800018,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=5e894eff-4772-41ff-9aee-3f7616fe1b08.pdf
12#生产厂房等2项（北京MAX空港研发创新园B区工程）,北京空港科技园区股份有限公司,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=222F0SG201800025,2018-6-27,222F0SG201800025,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=4c859410-99c4-4350-bfac-2957969d4832.pdf
北京金隅八达岭温泉度假村升级改造项目,北京金隅八达岭温泉度假村有限责任公司,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=229F0SG201800010,2018-6-27,229F0SG201800010,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=1db3b5c5-8a0b-4999-a14b-9aaea269866f.pdf
门头沟区新城35千伏石器线电力隧道工程,北京市门头沟区城市管理委员会,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=109F0SG201800002,2018-6-27,109F0SG201800002,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=a5f9e27a-edd5-4855-b819-0e8ca7ac0a96.pdf
海淀区八里庄小学部分平房教室瓦屋面、南院地面及教室33室外厕所综修,北京市海淀区八里庄小学,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=108F0SG201800097,2018-6-28,108F0SG201800097,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=0c8064f0-c8e8-4329-8313-e70962ad8374.pdf
昌平区未来科学城垃圾气力管道收集输送工程-S1、S2、S3中央收集站工程,北京未来科学城发展集团有限公司,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=221F0SG201800048,2018-6-28,221F0SG201800048,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=695df3a2-2b5e-4532-92de-c19eff5c9820.pdf
中国人民解放军91395部队整体建工程（营房整修加固工程一标段）,中国人民解放军91395部队,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=231F0SG201800049,2018-6-28,231F0SG201800049,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=c1b61a36-f17f-48ea-9cba-26432049a0ce.pdf
北京华电门头沟区域能源中心-潭柘寺镇镇区供热工程,北京市门头沟区潭柘寺镇人民政府,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=109F0SG201800004,2018-6-28,109F0SG201800004,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=2ec61496-6ee7-412f-a425-f5434d1b8e19.pdf
地铁6号线田村站B出入口、风亭、安全出口及服务用房、地下车库项目,北京粮食集团有限责任公司,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=108F0SG201800083,2018-6-28,108F0SG201800083,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=2b87440f-daad-4681-8111-47d76fb980d9.pdf
title,company,project_link,date,project_id,pdf_real_link
海淀公园花卉布置工程,海淀公园管理处,http://www.bcactc.com/home/gcxx/ylzbgs_show.aspx?gcbh=YGKL20180085X,2018-6-26,YGKL20180085X,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=2d6037f6-3a7c-4445-95e1-90ca85435ed6.pdf
昌平区2018年平原地区重点区域绿化建设工程（6标段）施工,北京市昌平区园林绿化局,http://www.bcactc.com/home/gcxx/ylzbgs_show.aspx?gcbh=YGKL20180059X,2018-6-25,YGKL20180059X,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=7d69453b-b963-4ea7-9833-975fe9fa2eca.pdf
海淀北部地区整体开发中关村永丰产业基地HD-0402-0078地块B2商务用地项目园林工程一标段,北京中关村集成电路设计园发展有限责任公司,http://www.bcactc.com/home/gcxx/ylzbgs_show.aspx?gcbh=YGKL20180035X,2018-6-25,YGKL20180035X,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=e21d739c-1c1f-4f4d-865d-90944c0a6023.pdf
2018年绿地节水改造项目,北京市海淀区园林绿化服务中心,http://www.bcactc.com/home/gcxx/ylzbgs_show.aspx?gcbh=YGKL20180083X,2018-6-26,YGKL20180083X,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=c24a060d-8274-42ad-96eb-bf7cc28553b6.pdf
昌平区2018年平原地区重点区域绿化建设工程（5标段）施工,北京市昌平区园林绿化局,http://www.bcactc.com/home/gcxx/ylzbgs_show.aspx?gcbh=YGKL20180058X,2018-6-25,YGKL20180058X,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=95538f65-e4e9-497d-ab7e-9ed38f6cd45c.pdf
老所改造及职工建房工程一期外线工程,中国人民解放军北京卫戍区石景山离职干部休养所,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=231F0SG201800044,2018-6-26,231F0SG201800044,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=1ee2cdd1-d3f6-4a06-97f6-8f0a152d0564.pdf
龙泉镇西公交中心站工程,北京公共交通控股（集团）有限公司,http://www.bcactc.com/home/gcxx/sgzbgs_show.aspx?gcbh=F0SG201800134,2018-6-26,F0SG201800134,http://file.bcactc.com/FileInterface/FileRead.ashx?filename=698ed35f-7326-4085-9918-913c5611ae0f.pdf
